Date,Merchant,Amount,Category,Description
2024-07-18,Reliance Retail,-3101.95,Shopping,Purchase at Reliance Retail
2024-07-21,Coursera,-4384.2,Education,Purchase at Coursera
2024-07-22,Electricity Board,-3698.59,Bills and Utilities,Purchase at Electricity Board
2024-07-23,BSNL,-4354.88,Bills and Utilities,Purchase at BSNL
2024-07-23,Myntra,-1016.62,Shopping,Purchase at Myntra
2024-07-24,Jio,-4493.07,Bills and Utilities,Purchase at Jio
2024-07-24,Amazon Prime,-414.43,Entertainment,Purchase at Amazon Prime
2024-07-25,Myntra,-4620.41,Shopping,Purchase at Myntra
2024-07-26,Starbucks,-1175.44,Food and Dining,Purchase at Starbucks
2024-07-27,Swiggy,-1938.0,Food and Dining,Purchase at Swiggy
2024-07-28,Gym Membership,-1199.77,Health and Fitness,Purchase at Gym Membership
2024-07-28,Udemy,-5061.7,Education,Purchase at Udemy
2024-07-31,BSNL,-750.16,Bills and Utilities,Purchase at BSNL
2024-08-01,PVR Cinemas,-494.42,Entertainment,Purchase at PVR Cinemas
2024-08-02,Big Bazaar,-812.62,Shopping,Purchase at Big Bazaar
2024-08-02,BookMyShow,-1378.51,Entertainment,Purchase at BookMyShow
2024-08-03,Water Supply,-599.33,Bills and Utilities,Purchase at Water Supply
2024-08-05,Gym Membership,-1559.3,Health and Fitness,Purchase at Gym Membership
2024-08-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2024-08-09,Tata Power,-3726.42,Bills and Utilities,Purchase at Tata Power
2024-08-10,School Fees,-4762.64,Education,Purchase at School Fees
2024-08-14,Ola,-414.03,Transportation,Purchase at Ola
2024-08-14,Udemy,-4497.53,Education,Purchase at Udemy
2024-08-14,Ola,-2766.75,Transportation,Purchase at Ola
2024-08-15,Dominos,-888.22,Food and Dining,Purchase at Dominos
2024-08-17,Gym Membership,-4105.19,Health and Fitness,Purchase at Gym Membership
2024-08-18,Udemy,-3863.59,Education,Purchase at Udemy
2024-08-19,School Fees,-5275.96,Education,Purchase at School Fees
2024-08-19,Amazon Prime,-290.41,Entertainment,Purchase at Amazon Prime
2024-08-22,Zomato,-1286.85,Food and Dining,Purchase at Zomato
2024-08-22,Coursera,-2637.37,Education,Purchase at Coursera
2024-08-22,Zomato,-1357.37,Food and Dining,Purchase at Zomato
2024-08-22,Dominos,-1573.86,Food and Dining,Purchase at Dominos
2024-08-23,Metro Card Recharge,-2885.06,Transportation,Purchase at Metro Card Recharge
2024-08-26,Amazon Prime,-1928.72,Entertainment,Purchase at Amazon Prime
2024-08-26,BookMyShow,-363.56,Entertainment,Purchase at BookMyShow
2024-08-26,BSNL,-3675.87,Bills and Utilities,Purchase at BSNL
2024-08-27,D-Mart,-4109.62,Shopping,Purchase at D-Mart
2024-08-27,PVR Cinemas,-1151.79,Entertainment,Purchase at PVR Cinemas
2024-08-27,Dominos,-426.89,Food and Dining,Purchase at Dominos
2024-08-28,Diagnostic Center,-2704.0,Health and Fitness,Purchase at Diagnostic Center
2024-08-29,Netflix,-550.23,Entertainment,Purchase at Netflix
2024-08-30,Big Bazaar,-1018.74,Shopping,Purchase at Big Bazaar
2024-08-31,Gym Membership,-2309.31,Health and Fitness,Purchase at Gym Membership
2024-08-31,Petrol Pump,-1881.98,Transportation,Purchase at Petrol Pump
2024-08-31,Coursera,-6198.7,Education,Purchase at Coursera
2024-09-01,Amazon,-4192.97,Shopping,Purchase at Amazon
2024-09-01,Diagnostic Center,-1457.38,Health and Fitness,Purchase at Diagnostic Center
2024-09-02,Uber,-2769.89,Transportation,Purchase at Uber
2024-09-05,Uber,-1683.51,Transportation,Purchase at Uber
2024-09-06,Coursera,-9040.76,Education,Purchase at Coursera
2024-09-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2024-09-08,Netflix,-446.05,Entertainment,Purchase at Netflix
2024-09-09,Starbucks,-1188.52,Food and Dining,Purchase at Starbucks
2024-09-12,Starbucks,-656.15,Food and Dining,Purchase at Starbucks
2024-09-13,Zomato,-615.08,Food and Dining,Purchase at Zomato
2024-09-14,Stationary Shop,-11798.65,Education,Purchase at Stationary Shop
2024-09-15,Petrol Pump,-1753.99,Transportation,Purchase at Petrol Pump
2024-09-17,Myntra,-2185.13,Shopping,Purchase at Myntra
2024-09-17,Starbucks,-1399.31,Food and Dining,Purchase at Starbucks
2024-09-20,Ola,-247.23,Transportation,Purchase at Ola
2024-09-20,Big Bazaar,-4177.87,Shopping,Purchase at Big Bazaar
2024-09-21,School Fees,-5507.91,Education,Purchase at School Fees
2024-09-23,Book Store,-9350.27,Education,Purchase at Book Store
2024-09-24,Starbucks,-251.26,Food and Dining,Purchase at Starbucks
2024-09-24,Reliance Retail,-3917.64,Shopping,Purchase at Reliance Retail
2024-09-24,Gym Membership,-4594.54,Health and Fitness,Purchase at Gym Membership
2024-09-24,Indian Railways,-1628.5,Transportation,Purchase at Indian Railways
2024-09-25,Stationary Shop,-9433.64,Education,Purchase at Stationary Shop
2024-09-27,Spotify,-1363.32,Entertainment,Purchase at Spotify
2024-09-28,Apollo Pharmacy,-1748.24,Health and Fitness,Purchase at Apollo Pharmacy
2024-09-28,Ola,-908.15,Transportation,Purchase at Ola
2024-09-29,Spotify,-1885.5,Entertainment,Purchase at Spotify
2024-10-02,Amazon Prime,-1301.32,Entertainment,Purchase at Amazon Prime
2024-10-04,Book Store,-4245.34,Education,Purchase at Book Store
2024-10-05,Big Bazaar,-2530.01,Shopping,Purchase at Big Bazaar
2024-10-05,Medical Store,-4367.42,Health and Fitness,Purchase at Medical Store
2024-10-06,Stationary Shop,-7348.4,Education,Purchase at Stationary Shop
2024-10-06,Gym Membership,-3925.36,Health and Fitness,Purchase at Gym Membership
2024-10-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2024-10-09,Tata Power,-2224.22,Bills and Utilities,Purchase at Tata Power
2024-10-09,Starbucks,-833.99,Food and Dining,Purchase at Starbucks
2024-10-09,Reliance Retail,-3331.56,Shopping,Purchase at Reliance Retail
2024-10-11,Dominos,-1698.48,Food and Dining,Purchase at Dominos
2024-10-14,Diagnostic Center,-3308.69,Health and Fitness,Purchase at Diagnostic Center
2024-10-15,Indian Railways,-2867.03,Transportation,Purchase at Indian Railways
2024-10-15,Big Bazaar,-19739.0,Shopping,Diwali Shopping
2024-10-15,Tata Power,-1443.74,Bills and Utilities,Purchase at Tata Power
2024-10-16,Gym Membership,-2716.26,Health and Fitness,Purchase at Gym Membership
2024-10-17,Jio,-4781.12,Bills and Utilities,Purchase at Jio
2024-10-19,Coursera,-7165.62,Education,Purchase at Coursera
2024-10-21,D-Mart,-1590.34,Shopping,Purchase at D-Mart
2024-10-22,Ola,-1514.33,Transportation,Purchase at Ola
2024-10-22,Indian Railways,-2760.17,Transportation,Purchase at Indian Railways
2024-10-22,Spotify,-1427.88,Entertainment,Purchase at Spotify
2024-10-23,Electricity Board,-3991.11,Bills and Utilities,Purchase at Electricity Board
2024-10-24,Diagnostic Center,-3404.48,Health and Fitness,Purchase at Diagnostic Center
2024-10-24,Udemy,-11192.05,Education,Purchase at Udemy
2024-10-25,BSNL,-4563.64,Bills and Utilities,Purchase at BSNL
2024-10-30,Amazon,-4549.7,Shopping,Purchase at Amazon
2024-10-30,Diagnostic Center,-3022.77,Health and Fitness,Purchase at Diagnostic Center
2024-10-31,Dominos,-1157.77,Food and Dining,Purchase at Dominos
2024-10-31,Myntra,-1747.17,Shopping,Purchase at Myntra
2024-10-31,Diagnostic Center,-4150.97,Health and Fitness,Purchase at Diagnostic Center
2024-10-31,Medical Store,-1051.59,Health and Fitness,Purchase at Medical Store
2024-11-01,Tata Power,-1018.33,Bills and Utilities,Purchase at Tata Power
2024-11-04,Diagnostic Center,-1666.17,Health and Fitness,Purchase at Diagnostic Center
2024-11-04,Reliance Retail,-1136.32,Shopping,Purchase at Reliance Retail
2024-11-05,Reliance Retail,-1584.98,Shopping,Purchase at Reliance Retail
2024-11-05,Uber,-2713.61,Transportation,Purchase at Uber
2024-11-05,Big Bazaar,-4615.2,Shopping,Purchase at Big Bazaar
2024-11-06,Coursera,-12137.41,Education,Purchase at Coursera
2024-11-07,Diagnostic Center,-2278.9,Health and Fitness,Purchase at Diagnostic Center
2024-11-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2024-11-08,School Fees,-7926.82,Education,Purchase at School Fees
2024-11-08,Uber,-1065.57,Transportation,Purchase at Uber
2024-11-08,D-Mart,-4626.45,Shopping,Purchase at D-Mart
2024-11-10,Diagnostic Center,-2019.6,Health and Fitness,Purchase at Diagnostic Center
2024-11-11,Tata Power,-4875.58,Bills and Utilities,Purchase at Tata Power
2024-11-11,Water Supply,-2079.83,Bills and Utilities,Purchase at Water Supply
2024-11-13,Flipkart,-1405.14,Shopping,Purchase at Flipkart
2024-11-14,D-Mart,-4484.94,Shopping,Purchase at D-Mart
2024-11-18,Diagnostic Center,-3515.61,Health and Fitness,Purchase at Diagnostic Center
2024-11-21,Swiggy,-1637.55,Food and Dining,Purchase at Swiggy
2024-11-22,McDonald's,-1399.12,Food and Dining,Purchase at McDonald's
2024-11-22,Food Panda,-1046.69,Food and Dining,Purchase at Food Panda
2024-11-25,Book Store,-4939.91,Education,Purchase at Book Store
2024-11-26,School Fees,-9269.3,Education,Purchase at School Fees
2024-11-26,Water Supply,-1761.84,Bills and Utilities,Purchase at Water Supply
2024-11-27,Amazon Prime,-1540.56,Entertainment,Purchase at Amazon Prime
2024-11-28,Diagnostic Center,-3286.14,Health and Fitness,Purchase at Diagnostic Center
2024-11-30,Amazon Prime,-1709.59,Entertainment,Purchase at Amazon Prime
2024-12-02,Stationary Shop,-1148.03,Education,Purchase at Stationary Shop
2024-12-02,Stationary Shop,-12234.25,Education,Purchase at Stationary Shop
2024-12-02,Gym Membership,-3997.85,Health and Fitness,Purchase at Gym Membership
2024-12-03,Electricity Board,-1073.03,Bills and Utilities,Purchase at Electricity Board
2024-12-05,Ola,-854.8,Transportation,Purchase at Ola
2024-12-06,Airtel,-2905.99,Bills and Utilities,Purchase at Airtel
2024-12-06,Big Bazaar,-3718.69,Shopping,Purchase at Big Bazaar
2024-12-06,Swiggy,-1520.05,Food and Dining,Purchase at Swiggy
2024-12-07,Food Panda,-295.15,Food and Dining,Purchase at Food Panda
2024-12-07,Salary Credit,58328.0,Income,Monthly Salary Credit
2024-12-09,Diagnostic Center,-1877.59,Health and Fitness,Purchase at Diagnostic Center
2024-12-11,Food Panda,-1904.13,Food and Dining,Purchase at Food Panda
2024-12-11,Petrol Pump,-2331.01,Transportation,Purchase at Petrol Pump
2024-12-12,Reliance Retail,-2708.44,Shopping,Purchase at Reliance Retail
2024-12-13,Diagnostic Center,-1848.22,Health and Fitness,Purchase at Diagnostic Center
2024-12-13,School Fees,-660.92,Education,Purchase at School Fees
2024-12-15,Ola,-2704.82,Transportation,Purchase at Ola
2024-12-15,Petrol Pump,-2859.28,Transportation,Purchase at Petrol Pump
2024-12-15,Airtel,-3367.64,Bills and Utilities,Purchase at Airtel
2024-12-17,Apollo Pharmacy,-1250.75,Health and Fitness,Purchase at Apollo Pharmacy
2024-12-17,Amazon,-3708.28,Shopping,Purchase at Amazon
2024-12-18,Indian Railways,-1053.06,Transportation,Purchase at Indian Railways
2024-12-18,Netflix,-1100.16,Entertainment,Purchase at Netflix
2024-12-18,McDonald's,-1771.57,Food and Dining,Purchase at McDonald's
2024-12-19,Stationary Shop,-13662.66,Education,Purchase at Stationary Shop
2024-12-19,BSNL,-1304.0,Bills and Utilities,Purchase at BSNL
2024-12-20,MakeMyTrip,-45209.0,Travel,Year-end Vacation Booking
2024-12-21,Jio,-3219.9,Bills and Utilities,Purchase at Jio
2024-12-21,D-Mart,-1903.92,Shopping,Purchase at D-Mart
2024-12-22,Netflix,-900.55,Entertainment,Purchase at Netflix
2024-12-23,School Fees,-5658.26,Education,Purchase at School Fees
2024-12-24,McDonald's,-1001.06,Food and Dining,Purchase at McDonald's
2024-12-26,BSNL,-1547.54,Bills and Utilities,Purchase at BSNL
2024-12-27,Water Supply,-2748.36,Bills and Utilities,Purchase at Water Supply
2024-12-28,D-Mart,-1323.44,Shopping,Purchase at D-Mart
2024-12-29,Swiggy,-314.29,Food and Dining,Purchase at Swiggy
2024-12-29,McDonald's,-1195.63,Food and Dining,Purchase at McDonald's
2024-12-30,Zomato,-306.21,Food and Dining,Purchase at Zomato
2024-12-31,Indian Railways,-161.55,Transportation,Purchase at Indian Railways
2025-01-01,Indian Railways,-371.92,Transportation,Purchase at Indian Railways
2025-01-01,Zomato,-1789.21,Food and Dining,Purchase at Zomato
2025-01-02,Tata Power,-4573.78,Bills and Utilities,Purchase at Tata Power
2025-01-04,School Fees,-2267.22,Education,Purchase at School Fees
